file,brand,sku,name
"gas-fireplaces-scraped.json","The","TOP-TFL-WILL84RTFFSEN-NG","The Outdoor Plus RTF 84 Inch Williams Outdoor See Thru Gas Fireplace - Flame Sense Spark"
"gas-fireplaces-scraped.json","The","TOP-TFL-WILL84RTFSCFSML-NG","The Outdoor Plus RTF 84 Inch Williams Outdoor See Thru Scupper Gas Fireplace - Flame Sense Match Lit"
"gas-fireplaces-scraped.json","The","TOP-TFL-WILL84SSFSEN-NG","The Outdoor Plus 84 Inch Stainless Steel See Through Outdoor Gas Fireplace - Spark Ignition"
"gas-fireplaces-scraped.json","Timberwolf","NPL-TB42NTRE","Timberwolf 42 Inch TB42 Direct Vent Natural Gas Fireplace - IPI"
"gas-fireplaces-scraped.json","Montigo","MGO-DRL7213NI","Montigo 72 Inch DelRay Basic Linear Direct Vent Gas Fireplace"
"gas-fireplaces-scraped.json","Montigo","MGO-DRL4813NI","Montigo 48 Inch DelRay Basic Linear Direct Vent Gas Fireplace"
"gas-fireplaces-scraped.json","Montigo","MGO-DRL7213NI-2","Montigo 72 Inch DelRay Full Load Linear Direct Vent Gas Fireplace"
"gas-fireplaces-scraped.json","Montigo","MGO-DRL3613NI","Montigo 36 Inch DelRay Basic Linear Direct Vent Gas Fireplace"
"gas-fireplaces-scraped.json","Montigo","MGO-DRL6013NI","Montigo 60 Inch DelRay Basic Linear Direct Vent Gas Fireplace"
"gas-fireplaces-scraped.json","Montigo","MGO-DRSQ34NI","Montigo 34 Inch DelRay Basic Square Direct Vent Gas Fireplace"
"gas-fireplaces-scraped.json","Montigo","MGO-DRSQ46NI-2","Montigo 46 Inch DelRay Full Load Square Direct Vent Gas Fireplace"
"gas-fireplaces-scraped.json","Montigo","MGO-DRL6013NI-2","Montigo 60 Inch DelRay Full Load Linear Direct Vent Gas Fireplace"
"gas-fireplaces-scraped.json","Montigo","MGO-DRSQ38NI-2","Montigo 38 Inch DelRay Full Load Square Direct Vent Gas Fireplace"
"gas-fireplaces-scraped.json","Montigo","MGO-DRSQ38NI","Montigo 38 Inch DelRay Basic Square Direct Vent Gas Fireplace"
"gas-fireplaces-scraped.json","Montigo","MGO-DRL3613NI-2","Montigo 36 Inch DelRay Full Load Linear Direct Vent Gas Fireplace"
"gas-fireplaces-scraped.json","Montigo","MGO-DRSQ42NI-2","Montigo 42 Inch DelRay Full Load Square Direct Vent Gas Fireplace"
"gas-fireplaces-scraped.json","Montigo","MGO-DRSQ46NI","Montigo 46 Inch DelRay Basic Square Direct Vent Gas Fireplace"
"gas-fireplaces-scraped.json","Montigo","MGO-DRSQ34NI-2","Montigo 34 Inch DelRay Full Load Square Direct Vent Gas Fireplace"
