sku,brand,name,categoryFile,productUrl,sourceImageUrl,imageUrl
FPX-6015HIGHOUTPUTDELUXE,FireplaceX,FireplaceX 6015 High Output Deluxe,gas-fireplaces-scraped.json,https://www.fireplacex.com/product/6015-high-output-deluxe/,https://www.fireplacex.com/wp-content/uploads/6015HO_NoTrim.jpg,/products-upgraded/gas-fireplaces/fpx-6015highoutputdeluxe.webp
FPX-34DVLDELUXEEMBERGLO,FireplaceX,FireplaceX 34 DVL Deluxe Ember Glo,gas-fireplaces-scraped.json,https://www.fireplacex.com/product/34-dvl-deluxe-ember-glo/,https://www.fireplacex.com/wp-content/uploads/34DVL_TimberlineChP.jpg,/products-upgraded/gas-fireplaces/fpx-34dvldeluxeemberglo.webp
FPX-864TV40KDELUXE,FireplaceX,FireplaceX 864 TV 40k Deluxe,gas-fireplaces-scraped.json,https://www.fireplacex.com/product/864-tv-40k-deluxe/,https://www.fireplacex.com/wp-content/uploads/86440K_ClassicArch_BP_New.jpg,/products-upgraded/gas-fireplaces/fpx-864tv40kdeluxe.webp
FPX-864TRV31K,FireplaceX,FireplaceX 864 Trv 31k,gas-fireplaces-scraped.json,https://www.fireplacex.com/product/864-trv-31k/,https://www.fireplacex.com/wp-content/uploads/86431K_ClassicArch_BP_New.jpg,/products-upgraded/gas-fireplaces/fpx-864trv31k.webp
FPX-564TRV35KDELUXE,FireplaceX,FireplaceX 564 Trv 35k Deluxe,gas-fireplaces-scraped.json,https://www.fireplacex.com/product/564-trv-35k-deluxe/,https://www.fireplacex.com/wp-content/uploads/56435K_ClassicArchBP.jpg,/products-upgraded/gas-fireplaces/fpx-564trv35kdeluxe.webp
FPX-564TRV25K,FireplaceX,FireplaceX 564 Trv 25k,gas-fireplaces-scraped.json,https://www.fireplacex.com/product/564-trv-25k/,https://www.fireplacex.com/wp-content/uploads/564_25K_Metalsmith.jpg,/products-upgraded/gas-fireplaces/fpx-564trv25k.webp
FPX-PROBUILDER42LINEARBASICGSB,FireplaceX,FireplaceX Probuilder 42 Linear Basic GSB,gas-fireplaces-scraped.json,https://www.fireplacex.com/product/probuilder-42-linear-basic-gsb/,https://www.fireplacex.com/wp-content/uploads/42_ProBuilder_NoLogs.jpg,/products-upgraded/gas-fireplaces/fpx-probuilder42linearbasicgsb.webp
FPX-PROBUILDER42LINEARDELUXE,FireplaceX,FireplaceX Probuilder 42 Linear Deluxe,gas-fireplaces-scraped.json,https://www.fireplacex.com/product/probuilder-42-linear-deluxe/,https://www.fireplacex.com/wp-content/uploads/42_ProBuilderDeluxe_NoLogs.jpg,/products-upgraded/gas-fireplaces/fpx-probuilder42lineardeluxe.webp
FPX-PROBUILDER54LINEARBASICGSB,FireplaceX,FireplaceX Probuilder 54 Linear Basic GSB,gas-fireplaces-scraped.json,https://www.fireplacex.com/product/probuilder-54-linear-basic-gsb/,https://www.fireplacex.com/wp-content/uploads/54_ProBuilder_NoLogs.jpg,/products-upgraded/gas-fireplaces/fpx-probuilder54linearbasicgsb.webp
FPX-PROBUILDER54LINEARDELUXE,FireplaceX,FireplaceX Probuilder 54 Linear Deluxe,gas-fireplaces-scraped.json,https://www.fireplacex.com/product/probuilder-54-linear-deluxe/,https://www.fireplacex.com/wp-content/uploads/54_ProBuilderDeluxe_NoLogs.jpg,/products-upgraded/gas-fireplaces/fpx-probuilder54lineardeluxe.webp
FPX-PROBUILDER72LINEARBASICGSB,FireplaceX,FireplaceX Probuilder 72 Linear Basic GSB,gas-fireplaces-scraped.json,https://www.fireplacex.com/product/probuilder-72-linear-basic-gsb/,https://www.fireplacex.com/wp-content/uploads/72_ProBuilder_NoLogs-1.jpg,/products-upgraded/gas-fireplaces/fpx-probuilder72linearbasicgsb.webp
FPX-PROBUILDER72LINEARDELUXE,FireplaceX,FireplaceX Probuilder 72 Linear Deluxe,gas-fireplaces-scraped.json,https://www.fireplacex.com/product/probuilder-72-linear-deluxe/,https://www.fireplacex.com/wp-content/uploads/72_ProBuilderDeluxe_NoLogs.jpg,/products-upgraded/gas-fireplaces/fpx-probuilder72lineardeluxe.webp
FPX-4415SEETHRUHIGHOUTPUTDELUXE,FireplaceX,FireplaceX 4415 See Thru High Output Deluxe,gas-fireplaces-scraped.json,https://www.fireplacex.com/product/4415-see-thru-high-output-deluxe/,https://www.fireplacex.com/wp-content/uploads/4415ST_NT.jpg,/products-upgraded/gas-fireplaces/fpx-4415seethruhighoutputdeluxe.webp
FPX-4237EMBERGLODELUXE,FireplaceX,FireplaceX 4237 Ember Glo Deluxe,gas-fireplaces-scraped.json,https://www.fireplacex.com/product/4237-ember-glo-deluxe/,https://www.fireplacex.com/wp-content/uploads/4237_IronworksDDChar_2021.jpg,/products-upgraded/gas-fireplaces/fpx-4237emberglodeluxe.webp
FPX-4237EGCF,FireplaceX,FireplaceX 4237 Eg Cf,gas-fireplaces-scraped.json,https://www.fireplacex.com/product/4237-eg-cf/,https://www.fireplacex.com/wp-content/uploads/4237EFII_BTT.jpg,/products-upgraded/gas-fireplaces/fpx-4237egcf.webp
FPX-864TV40KCLEANFACEDELUXE,FireplaceX,FireplaceX 864 TV 40k Clean Face Deluxe,gas-fireplaces-scraped.json,https://www.fireplacex.com/product/864-tv-40k-clean-face-deluxe/,https://www.fireplacex.com/wp-content/uploads/86440K_NoTrim.jpg,/products-upgraded/gas-fireplaces/fpx-864tv40kcleanfacedeluxe.webp
FPX-864TRV31KCLEANFACEDELUXE,FireplaceX,FireplaceX 864 Trv 31k Clean Face Deluxe,gas-fireplaces-scraped.json,https://www.fireplacex.com/product/864-trv-31k-clean-face-deluxe/,https://www.fireplacex.com/wp-content/uploads/86431K_NoTrim.jpg,/products-upgraded/gas-fireplaces/fpx-864trv31kcleanfacedeluxe.webp
FPX-616MODFYRE,FireplaceX,FireplaceX 616 Modfyre,gas-fireplaces-scraped.json,https://www.fireplacex.com/product/616-modfyre/,https://www.fireplacex.com/wp-content/uploads/616MF_Metropolitan.jpg,/products-upgraded/gas-fireplaces/fpx-616modfyre.webp
FPX-36ELITE,FireplaceX,FireplaceX 36 Elite,wood-fireplaces-scraped.json,https://www.fireplacex.com/product/36-elite/,https://www.fireplacex.com/wp-content/uploads/36E_CASINGD_BP2020.jpg,/products-upgraded/wood-fireplaces/fpx-36elite.webp
FPX-430MODFYRE,FireplaceX,FireplaceX 430 Modfyre,gas-fireplaces-scraped.json,https://www.fireplacex.com/product/430-modfyre/,https://www.fireplacex.com/wp-content/uploads/430MF_ShadowboxBP.jpg,/products-upgraded/gas-fireplaces/fpx-430modfyre.webp
