sku,status,imageUrl,sourceImageUrl,reason
SE08304-03,updated,/products/parts/se08304-03.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/11906/58719/SE08304-01-01__45905.1676058076.jpg?c=2,real-photo-found
80608,updated,/products/parts/80608.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/6442/30256/69666__30974.1557162639.jpg?c=2,real-photo-found
SE68315,skipped,,,no-real-photo
DK36-NG,skipped,,,no-real-photo
W175-0313,updated,/products/parts/w175-0313.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/41586/59611/W175-0347-01__14641.1681752022.jpg?c=2,real-photo-found
GIDTB30,skipped,,,no-real-photo
W010-0968,updated,/products/parts/w010-0968.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/12709/68187/W010-0539-SER-1__84534.1756821582.jpg?c=2,real-photo-found
50-2954,updated,/products/parts/50-2954.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/4780/7713/50-1376-2__89337.1493913620.jpg?c=2,real-photo-found
AC09151,updated,/products/parts/ac09151.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/3894/26109/30572-1__06367.1531160885.jpg?c=2,real-photo-found
W500-0241,skipped,,,no-real-photo
4001223,updated,/products/parts/4001223.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/4129/59976/4001541-01__74165.1683307377.jpg?c=2,real-photo-found
33VF-200,updated,/products/parts/33vf-200.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/3936/64074/3320-200-01__14430.1719610422.jpg?c=2,real-photo-found
HYD27-V310-7T-K,updated,/products/parts/hyd27-v310-7t-k.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/39767/52588/HYD27-V310-5T-K-1__94497.1628716390.jpg?c=2,real-photo-found
W300-0108,updated,/products/parts/w300-0108.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/13382/22274/1__77438.1521496078.jpg?c=2,real-photo-found
W100-0054,updated,/products/parts/w100-0054.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/25880/66266/W100-0035-SER-01__63513.1749042327.jpg?c=2,real-photo-found
PFS,skipped,,,no-real-photo
TB636PB,updated,/products/parts/tb636pb.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/12544/55945/TB636SS-1__48950.1659035887.jpg?c=2,real-photo-found
A-COWL22-G,updated,/products/parts/a-cowl22-g.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/41953/62314/A-P22-ASHDROP-1__16001.1711553770.jpg?c=2,real-photo-found
GI-LB36K,skipped,,,no-real-photo
30002734,updated,/products/parts/30002734.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/3401/5920/30002383-2__14123.1493904952.jpg?c=2,real-photo-found
W720-0081,updated,/products/parts/w720-0081.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/13749/57920/W720-0061__46255.1672177149.jpg?c=2,real-photo-found
