file,id,sku,brand,name
"electric-fireplaces-scraped.json","","CMB-CAM6938-2COF","Cambridge","Cambridge 69 Inch Somerset Electric Fireplace with Log Set and Console Mantel"
"electric-fireplaces-scraped.json","","CMB-CAM5332-1WHTCRS","Cambridge","Cambridge 53 Inch Sawyer Electric Fireplace with Crystals and Console Mantel - Black and White"
"electric-fireplaces-scraped.json","","CMB-CAM60RECWMEF-2BLK","Cambridge","Cambridge 60 Inch Recessed or Wall Mount Electric Fireplace with Logs"
"electric-fireplaces-scraped.json","","CMB-CAM60WMEF-1WHT","Cambridge","Cambridge 60 Inch Color-Changing Wall Mount Linear Electric Fireplace"
"electric-fireplaces-scraped.json","","CMB-CAM72WMEF-1BLK","Cambridge","Cambridge 72 Inch Color-Changing Wall Mount Linear Electric Fireplace"
"electric-fireplaces-scraped.json","","CMB-CAM50WMEF-1BLK","Cambridge","Cambridge 50 Inch Color-Changing Wall Mount Linear Electric Fireplace"
"electric-fireplaces-scraped.json","","CMB-CAM6215-1MAHCRS","Cambridge","Cambridge 62 Inch Summit Farmhouse Style Electric Fireplace with Crystals and Console Mantel"
"electric-fireplaces-scraped.json","","CMB-CAM6215-1MAHLG3","Cambridge","Cambridge 62 Inch Summit Farmhouse Style Electric Fireplace with Log Set and Console Mantel"
"electric-fireplaces-scraped.json","","CMB-CAM7233-1WALLG3","Cambridge","Cambridge 72 Inch Sanoma Electric Fireplace with Log Set and Console Mantel"
"electric-fireplaces-scraped.json","","CMB-CAM5332-1WWCRS","Cambridge","Cambridge 53 Inch Sawyer Electric Fireplace with Crystals and Console Mantel - Solid White"
"electric-fireplaces-scraped.json","","CMB-CAM6938-1COF","Cambridge","Cambridge 69 Inch Somerset Electric Fireplace with Crystals and Console Mantel"
"electric-fireplaces-scraped.json","","CMB-CAM30WMEF-1BLK","Cambridge","Cambridge 30 Inch Castillo Wall Mount Electric Fireplace with Crystals"
"electric-fireplaces-scraped.json","","CMB-CAM42RECWMEF-1BLK","Cambridge","Cambridge 42 Inch Recessed or Wall Mount Electric Fireplace with Crystals"
