category_file,category,sku,brand,name,slug,current_image_url,product_url
gas-fireplaces-scraped.json,gas-fireplaces,MAJ-RBV4842IT,Majestic,Majestic 42 Inch Reveal Open Hearth B-Vent Gas Fireplace,maj-rbv4842it,/products/gas-fireplaces/maj-rbv4842it-f98e9945.webp,https://www.efireplacestore.com/maj-rbv4842it.html
gas-fireplaces-scraped.json,gas-fireplaces,EMP-VFLB36FP30N,Empire,Empire 36 Inch Boulevard Linear Vent Free Gas Fireplace - Millivolt Pilot,emp-vflb36fp30n,/products/gas-fireplaces/emp-vflb36fp30n-161f69c2.webp,https://www.efireplacestore.com/emp-vflb36fp30n.html
gas-fireplaces-scraped.json,gas-fireplaces,EMP-VFLB48FP30N,Empire,Empire 48 Inch Boulevard Linear Vent Free Gas Fireplace - Millivolt Pilot,emp-vflb48fp30n,/products/gas-fireplaces/emp-vflb48fp30n-7ddcc791.webp,https://www.efireplacestore.com/emp-vflb48fp30n.html
gas-fireplaces-scraped.json,gas-fireplaces,KGM-HBZDV4224NE,Kingsman,Kingsman 42 Inch HBZDV4224 Direct Vent Gas Fireplace - IPI Pilot,kgm-hbzdv4224ne,/products/gas-fireplaces/kgm-hbzdv4224ne-ab01536a.webp,https://www.efireplacestore.com/kgm-hbzdv4224ne.html
gas-fireplaces-scraped.json,gas-fireplaces,NPL-B46NTRE,Napoleon,Napoleon B46 Ascent Builder Series 46 Inch Direct Vent Fireplace - Electronic Ignition,npl-b46ntre,/products/gas-fireplaces/npl-b46ntre-e4043d79.webp,https://www.efireplacestore.com/npl-b46ntre.html
gas-fireplaces-scraped.json,gas-fireplaces,MON-LCUF36CR-C,Monessen,Monessen 36 Inch Lo-Rider Clean Face Vent Free Gas Fireplace Firebox,mon-lcuf36cr-c,/products/gas-fireplaces/mon-lcuf36cr-c-88fdbbd3.webp,https://www.efireplacestore.com/mon-lcuf36cr-c.html
gas-fireplaces-scraped.json,gas-fireplaces,NPL-B46NTR,Napoleon,Napoleon B46 Ascent Builder Series 46 Inch Direct Vent Fireplace - Millivolt,npl-b46ntr,/products/gas-fireplaces/npl-b46ntr-e4043d79.webp,https://www.efireplacestore.com/npl-b46ntr.html
gas-fireplaces-scraped.json,gas-fireplaces,BSC-NV-ZCBBXL-OLP,Buck,Buck Stove 36 Inch Model ZCBBXL Vent Free Gas Fireplace with Oak Logs,bsc-nv-zcbbxl-olp,/products/gas-fireplaces/bsc-nv-zcbbxl-olp-5c87272e.webp,https://www.efireplacestore.com/bsc-nv-zcbbxl-olp.html
gas-fireplaces-scraped.json,gas-fireplaces,KGM-ZCVRB47N,Kingsman,Kingsman ZCVRB47 Linear Direct Vent Gas Fireplace - Millivolt Pilot,kgm-zcvrb47n,/products/gas-fireplaces/kgm-zcvrb47n-dd36a3c9.webp,https://www.efireplacestore.com/kgm-zcvrb47n.html
gas-fireplaces-scraped.json,gas-fireplaces,FRK-01FR0048,FireRock,FireRock 48 Inch Conventional Masonry Fireplace,frk-01fr0048,/products/gas-fireplaces/frk-01fr0048-fe3884e4.webp,https://www.efireplacestore.com/frk-01fr0048.html
gas-fireplaces-scraped.json,gas-fireplaces,ODL-ODLANAIG-48,Outdoor,Outdoor Lifestyles 48 Inch Lanai Linear Outdoor Gas Fireplace - IntelliFire IPI,odl-odlanaig-48,/products/gas-fireplaces/odl-odlanaig-48-44053869.webp,https://www.efireplacestore.com/odl-odlanaig-48.html
gas-fireplaces-scraped.json,gas-fireplaces,EMP-VFLB60FP90N,Empire,Empire 60 Inch Boulevard Linear Vent Free Gas Fireplace - Intermittent Pilot,emp-vflb60fp90n,/products/gas-fireplaces/emp-vflb60fp90n-8294fa86.webp,https://www.efireplacestore.com/emp-vflb60fp90n.html
gas-fireplaces-scraped.json,gas-fireplaces,CUI-VFP36SP32EP,Empire,Empire 36 Inch Vail Premium Vent Free Propane Gas See-Through Fireplace,cui-vfp36sp32ep,/products/gas-fireplaces/cui-vfp36sp32ep-39706158.webp,https://www.efireplacestore.com/cui-vfp36sp32ep.html
gas-fireplaces-scraped.json,gas-fireplaces,EMP-OP36FB2MF,Empire,Empire 36 Inch Carol Rose Outdoor Premium Fireplace Firebox with Flush Front and Refractory Liner,emp-op36fb2mf,/products/gas-fireplaces/emp-op36fb2mf-f516598b.webp,https://www.efireplacestore.com/emp-op36fb2mf.html
gas-fireplaces-scraped.json,gas-fireplaces,CUI-DVP36FP71N,Empire,Empire 36 Inch Tahoe Premium Direct Vent Fireplace with Blower - Intermittent Pilot,cui-dvp36fp71n,/products/gas-fireplaces/cui-dvp36fp71n-8e54fc7e.webp,https://www.efireplacestore.com/cui-dvp36fp71n.html
gas-fireplaces-scraped.json,gas-fireplaces,CUI-OLL60FP12SN,Empire,Empire OLL60FP12SN Carol Rose Outdoor Stainless Steel Linear Fireplace,cui-oll60fp12sn,/products/gas-fireplaces/cui-oll60fp12sn-ce595907.webp,https://www.efireplacestore.com/cui-oll60fp12sn.html
gas-fireplaces-scraped.json,gas-fireplaces,EMP-VFLC28IN32N,Empire,Empire 31 Inch Loft Vent Free Gas Fireplace Insert/Fireplace - Millivolt Pilot (Modern),emp-vflc28in32n,/products/gas-fireplaces/emp-vflc28in32n-4e69802e.webp,https://www.efireplacestore.com/emp-vflc28in32n.html
gas-fireplaces-scraped.json,gas-fireplaces,EMP-VFSL30FP7010N,Empire,Empire 30 Inch Boulevard Slim Line Vent Free Linear Gas Fireplace - 10 - 000 BTUs,emp-vfsl30fp7010n,/products/gas-fireplaces/emp-vfsl30fp7010n-56882965.webp,https://www.efireplacestore.com/emp-vfsl30fp7010n.html
gas-fireplaces-scraped.json,gas-fireplaces,EMP-VFPA36BP71LN,Empire,Empire 36 Inch Vail Vent Free Gas Fireplace with Blower - Intermittent Pilot,emp-vfpa36bp71ln,/products/gas-fireplaces/emp-vfpa36bp71ln-8b478936.webp,https://www.efireplacestore.com/emp-vfpa36bp71ln.html
gas-fireplaces-scraped.json,gas-fireplaces,CUI-VFP24FP30LP,Empire,Empire 24 Inch Vail Vent Free Propane Gas Fireplace,cui-vf24fp3p,/products/gas-fireplaces/cui-vf24fp3p-cf813669.webp,https://www.efireplacestore.com/cui-vf24fp3p.html
gas-fireplaces-scraped.json,gas-fireplaces,SUP-VRT2536WS,Superior,Superior 36 Inch VRT2500 Series Vent Free Gas Fireplace Firebox,sup-vrt2536ws,/products/gas-fireplaces/sup-vrt2536ws-19d99c5c.webp,https://www.efireplacestore.com/sup-vrt2536ws.html
