sku,status,imageUrl,sourceImageUrl,reason
44174,updated,/products/parts/44174.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/4448/57834/44167__58669.1671841073.jpg?c=2,
W715-0735W,no-real-photo,,,no candidate product image found
TEM90WI,no-real-photo,,,no candidate product image found
W010-0640,updated,/products/parts/w010-0640.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/12869/30749/W010-2112__97229.1557936451.jpg?c=2,
891138,updated,/products/parts/891138.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/7690/29813/891137__95421.1556127501.jpg?c=2,
7000997A,no-real-photo,,,no candidate product image found
PL41006,no-real-photo,,,no candidate product image found
PL39148,no-real-photo,,,no candidate product image found
PL54512,updated,/products/parts/pl54512.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/11471/66199/PL65517-01__66604.1748530746.jpg?c=2,
3PVP-60B,no-real-photo,,,no candidate product image found
1601223,no-real-photo,,,no candidate product image found
1B5228,updated,/products/parts/1b5228.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/1992/34156/1B5202__35244.1562189747.jpg?c=2,
7001002A,no-real-photo,,,no candidate product image found
4003109S,updated,/products/parts/4003109s.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/4176/51993/4003116S-1__69260.1626555050.jpg?c=2,
7G1810,updated,/products/parts/7g1810.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/6721/58881/7G57-01__08412.1677527359.jpg?c=2,
W585-0161,no-real-photo,,,no candidate product image found
TFR,no-real-photo,,,no candidate product image found
W100-0108,updated,/products/parts/w100-0108.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/25883/57729/W100-0065-1__86696.1671579429.jpg?c=2,
SE67082,no-real-photo,,,no candidate product image found
PL67149,updated,/products/parts/pl67149.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/11508/34375/PL67172__60803.1562618355.jpg?c=2,
PL68301,no-real-photo,,,no candidate product image found
3000-956,updated,/products/parts/3000-956.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/21323/36072/25VFI-CKNG-1__10531.1565297091.jpg?c=2,
GS328-1G,updated,/products/parts/gs328-1g.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/9834/31348/GS328-1K__30609.1558542531.jpg?c=2,
PL37035,no-real-photo,,,no candidate product image found
PL52513,no-real-photo,,,no candidate product image found
30002814,updated,/products/parts/30002814.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/3721/67588/30005244-1__72105.1756137035.jpg?c=2,
21195,updated,/products/parts/21195.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/2462/38340/21194-1__39557.1569007450.jpg?c=2,
891643,no-real-photo,,,no candidate product image found
80583,no-real-photo,,,no candidate product image found
25626,updated,/products/parts/25626.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/2786/4782/25625-2__69519.1493900822.jpg?c=2,
PRP36VF,updated,/products/parts/prp36vf.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/11750/33033/PRP36__25532.1560801096.jpg?c=2,
30334,no-real-photo,,,no candidate product image found
W335-0043,no-real-photo,,,no candidate product image found
69559,updated,/products/parts/69559.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/6803/11033/80422-2__12485.1493927501.jpg?c=2,
SE62389,no-real-photo,,,no candidate product image found
EF4i-063,updated,/products/parts/ef4i-063.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/9079/14853/EF4i-071-2__65199.1493942586.jpg?c=2,
21063,updated,/products/parts/21063.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/6200/25681/60203__58200.1529616839.jpg?c=2,
21327,no-real-photo,,,no candidate product image found
OA11300,updated,/products/parts/oa11300.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/10943/57444/OA11295-3__48431.1669400911.jpg?c=2,
W062-0006,updated,/products/parts/w062-0006.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/25184/69117/W062-0018-1__48691.1776170697.jpg?c=2,
W225-0040SC,no-real-photo,,,no candidate product image found
SE35052PG,updated,/products/parts/se35052pg.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/12011/60311/SE37100-02__62693.1684854038.jpg?c=2,
SE03305-02,updated,/products/parts/se03305-02.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/11897/18089/SE02000-02-2__94711.1493958627.jpg?c=2,
20300389K,fetch-error,,,HTTP Error 404: Not Found
PRPH46,updated,/products/parts/prph46.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/11769/65321/PRPX40-01__79790.1741113151.jpg?c=2,
PL55502,no-real-photo,,,no candidate product image found
PL58508,no-real-photo,,,no candidate product image found
DK44WI-1,no-real-photo,,,no candidate product image found
EG95-130,updated,/products/parts/eg95-130.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/9280/15186/EG95-051-2__69326.1493944072.jpg?c=2,
1601771,updated,/products/parts/1601771.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/1521/41741/1308631__42454.1585065234.jpg?c=2,
7000994,updated,/products/parts/7000994.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/6560/31015/7001115-2__76900.1558117267.jpg?c=2,
